物件名,住所,アクセス,築年数,構造,階数,間取り,面積,家賃,管理費
コンフォリア春日富坂,東京都文京区春日１,東京メトロ丸ノ内線/後楽園駅 歩7分 都営三田線/春日駅 歩8分 ＪＲ中央線/飯田橋駅 歩15分,築16年,地下1地上12階建,9階,1LDK,42.94m2,18.9万円,10000円
東京メトロ南北線 東大前駅 4階建 新築,東京都文京区弥生１,東京メトロ南北線/東大前駅 歩4分 都営三田線/白山駅 歩13分 東京メトロ千代田線/根津駅 歩10分,新築,4階建,1階,1K,27.11m2,11.7万円,8000円
東京メトロ南北線 東大前駅 4階建 新築,東京都文京区弥生１,東京メトロ南北線/東大前駅 歩4分 都営三田線/白山駅 歩13分 東京メトロ千代田線/根津駅 歩10分,新築,4階建,1階,1K,27.11m2,11.7万円,8000円
東京メトロ南北線 東大前駅 4階建 新築,東京都文京区弥生１,東京メトロ南北線/東大前駅 歩4分 都営三田線/白山駅 歩13分 東京メトロ千代田線/根津駅 歩10分,新築,4階建,1階,1K,27.11m2,11.7万円,8000円
東京メトロ南北線 東大前駅 4階建 新築,東京都文京区弥生１,東京メトロ南北線/東大前駅 歩4分 都営三田線/白山駅 歩13分 東京メトロ千代田線/根津駅 歩10分,新築,4階建,1階,1K,27.11m2,11.8万円,8000円
東京メトロ南北線 東大前駅 4階建 新築,東京都文京区弥生１,東京メトロ南北線/東大前駅 歩4分 都営三田線/白山駅 歩13分 東京メトロ千代田線/根津駅 歩10分,新築,4階建,1階,1K,27.11m2,11.8万円,8000円
東京メトロ南北線 東大前駅 4階建 新築,東京都文京区弥生１,東京メトロ南北線/東大前駅 歩4分 都営三田線/白山駅 歩13分 東京メトロ千代田線/根津駅 歩10分,新築,4階建,2階,1K,27.11m2,12.1万円,8000円
東京メトロ南北線 東大前駅 4階建 新築,東京都文京区弥生１,東京メトロ南北線/東大前駅 歩4分 都営三田線/白山駅 歩13分 東京メトロ千代田線/根津駅 歩10分,新築,4階建,2階,1K,27.11m2,12.1万円,8000円
東京メトロ南北線 東大前駅 4階建 新築,東京都文京区弥生１,東京メトロ南北線/東大前駅 歩4分 都営三田線/白山駅 歩13分 東京メトロ千代田線/根津駅 歩10分,新築,4階建,2階,1K,27.11m2,12.1万円,8000円
東京メトロ南北線 東大前駅 4階建 新築,東京都文京区弥生１,東京メトロ南北線/東大前駅 歩4分 都営三田線/白山駅 歩13分 東京メトロ千代田線/根津駅 歩10分,新築,4階建,2階,1K,27.11m2,12.1万円,8000円
東京メトロ南北線 東大前駅 4階建 新築,東京都文京区弥生１,東京メトロ南北線/東大前駅 歩4分 都営三田線/白山駅 歩13分 東京メトロ千代田線/根津駅 歩10分,新築,4階建,3階,1K,27.11m2,12.4万円,8000円
東京メトロ南北線 東大前駅 4階建 新築,東京都文京区弥生１,東京メトロ南北線/東大前駅 歩4分 都営三田線/白山駅 歩13分 東京メトロ千代田線/根津駅 歩10分,新築,4階建,3階,1K,27.11m2,12.7万円,8000円
東京メトロ南北線 東大前駅 4階建 新築,東京都文京区弥生１,東京メトロ南北線/東大前駅 歩4分 都営三田線/白山駅 歩13分 東京メトロ千代田線/根津駅 歩10分,新築,4階建,1階,1K,43.06m2,19.2万円,10000円
東京メトロ南北線 東大前駅 4階建 新築,東京都文京区弥生１,東京メトロ南北線/東大前駅 歩4分 都営三田線/白山駅 歩13分 東京メトロ千代田線/根津駅 歩10分,新築,4階建,1階,1K,43.06m2,19.3万円,10000円
東京メトロ南北線 東大前駅 4階建 新築,東京都文京区弥生１,東京メトロ南北線/東大前駅 歩4分 都営三田線/白山駅 歩13分 東京メトロ千代田線/根津駅 歩10分,新築,4階建,2階,1K,43.06m2,19.6万円,10000円
東京メトロ南北線 東大前駅 4階建 新築,東京都文京区弥生１,東京メトロ南北線/東大前駅 歩4分 都営三田線/白山駅 歩13分 東京メトロ千代田線/根津駅 歩10分,新築,4階建,2階,1LDK,43.06m2,19.7万円,10000円
東京メトロ南北線 東大前駅 4階建 新築,東京都文京区弥生１,東京メトロ南北線/東大前駅 歩4分 都営三田線/白山駅 歩13分 東京メトロ千代田線/根津駅 歩10分,新築,4階建,2階,1K,43.06m2,19.7万円,10000円
東京メトロ南北線 東大前駅 4階建 新築,東京都文京区弥生１,東京メトロ南北線/東大前駅 歩4分 都営三田線/白山駅 歩13分 東京メトロ千代田線/根津駅 歩10分,新築,4階建,2階,1LDK,43.06m2,19.7万円,10000円
東京メトロ南北線 東大前駅 4階建 新築,東京都文京区弥生１,東京メトロ南北線/東大前駅 歩4分 都営三田線/白山駅 歩13分 東京メトロ千代田線/根津駅 歩10分,新築,4階建,4階,1LDK,43.06m2,20.2万円,10000円
東京メトロ南北線 東大前駅 4階建 新築,東京都文京区弥生１,東京メトロ南北線/東大前駅 歩4分 都営三田線/白山駅 歩13分 東京メトロ千代田線/根津駅 歩10分,新築,4階建,4階,1LDK,43.06m2,20.3万円,10000円
東京メトロ南北線 東大前駅 4階建 新築,東京都文京区弥生１,東京メトロ南北線/東大前駅 歩4分 都営三田線/白山駅 歩13分 東京メトロ千代田線/根津駅 歩10分,新築,4階建,4階,1LDK,43.06m2,20.8万円,10000円
プレノ小石川,東京都文京区小石川５,東京メトロ丸ノ内線/茗荷谷駅 歩7分 都営三田線/白山駅 歩18分 都営三田線/千石駅 歩22分,築19年,9階建,5階,2LDK,86.57m2,42万円,10000円
プレノ小石川,東京都文京区小石川５,東京メトロ丸ノ内線/茗荷谷駅 歩7分 都営三田線/白山駅 歩18分 都営三田線/千石駅 歩22分,築19年,9階建,5階,2LDK,86.57m2,42万円,10000円
プレノ小石川,東京都文京区小石川５,東京メトロ丸ノ内線/茗荷谷駅 歩7分 都営三田線/白山駅 歩18分 都営三田線/千石駅 歩22分,築19年,9階建,5階,2LDK,86.57m2,42万円,10000円
プレノ小石川,東京都文京区小石川５,東京メトロ丸ノ内線/茗荷谷駅 歩7分 都営三田線/白山駅 歩18分 都営三田線/千石駅 歩22分,築19年,9階建,5階,2LDK,86.57m2,42万円,10000円
プレノ小石川,東京都文京区小石川５,東京メトロ丸ノ内線/茗荷谷駅 歩7分 都営三田線/白山駅 歩18分 都営三田線/千石駅 歩22分,築19年,9階建,5階,2LDK,86.57m2,42万円,10000円
レジディア文京小石川2,東京都文京区小石川３,東京メトロ丸ノ内線/後楽園駅 歩5分 都営三田線/春日駅 歩5分 都営大江戸線/本郷三丁目駅 歩17分,築8年,15階建,8階,2DK,46.44m2,21.5万円,15000円
都営三田線 春日駅 15階建 築8年,東京都文京区小石川３,都営三田線/春日駅 歩8分 東京メトロ丸ノ内線/後楽園駅 歩9分 東京メトロ南北線/東大前駅 歩19分,築8年,15階建,8階,2DK,46.44m2,21.5万円,15000円
テラスミーレ文京弥生,東京都文京区弥生１,東京メトロ南北線/東大前駅 歩4分 東京メトロ千代田線/根津駅 歩10分 東京メトロ南北線/本駒込駅 歩13分,新築,4階建,1階,1K,27.11m2,11.7万円,8000円
テラスミーレ文京弥生,東京都文京区弥生１,東京メトロ南北線/東大前駅 歩4分 東京メトロ千代田線/根津駅 歩10分 東京メトロ南北線/本駒込駅 歩13分,新築,4階建,1階,1K,27.11m2,11.7万円,8000円
テラスミーレ文京弥生,東京都文京区弥生１,東京メトロ南北線/東大前駅 歩4分 東京メトロ千代田線/根津駅 歩10分 東京メトロ南北線/本駒込駅 歩13分,新築,4階建,1階,1K,27.11m2,11.8万円,8000円
テラスミーレ文京弥生,東京都文京区弥生１,東京メトロ南北線/東大前駅 歩4分 東京メトロ千代田線/根津駅 歩10分 東京メトロ南北線/本駒込駅 歩13分,新築,4階建,1階,1K,27.11m2,11.8万円,8000円
テラスミーレ文京弥生,東京都文京区弥生１,東京メトロ南北線/東大前駅 歩4分 東京メトロ千代田線/根津駅 歩10分 東京メトロ南北線/本駒込駅 歩13分,新築,4階建,2階,1K,27.11m2,12.1万円,8000円
テラスミーレ文京弥生,東京都文京区弥生１,東京メトロ南北線/東大前駅 歩4分 東京メトロ千代田線/根津駅 歩10分 東京メトロ南北線/本駒込駅 歩13分,新築,4階建,2階,1K,27.11m2,12.1万円,8000円
テラスミーレ文京弥生,東京都文京区弥生１,東京メトロ南北線/東大前駅 歩4分 東京メトロ千代田線/根津駅 歩10分 東京メトロ南北線/本駒込駅 歩13分,新築,4階建,2階,1K,27.11m2,12.1万円,8000円
テラスミーレ文京弥生,東京都文京区弥生１,東京メトロ南北線/東大前駅 歩4分 東京メトロ千代田線/根津駅 歩10分 東京メトロ南北線/本駒込駅 歩13分,新築,4階建,2階,1K,27.11m2,12.2万円,8000円
テラスミーレ文京弥生,東京都文京区弥生１,東京メトロ南北線/東大前駅 歩4分 東京メトロ千代田線/根津駅 歩10分 東京メトロ南北線/本駒込駅 歩13分,新築,4階建,3階,1K,27.11m2,12.7万円,8000円
テラスミーレ文京弥生,東京都文京区弥生１,東京メトロ南北線/東大前駅 歩4分 東京メトロ千代田線/根津駅 歩10分 東京メトロ南北線/本駒込駅 歩13分,新築,4階建,1階,1LDK,43.06m2,19.2万円,10000円
テラスミーレ文京弥生,東京都文京区弥生１,東京メトロ南北線/東大前駅 歩4分 東京メトロ千代田線/根津駅 歩10分 東京メトロ南北線/本駒込駅 歩13分,新築,4階建,1階,1LDK,43.06m2,19.3万円,10000円
テラスミーレ文京弥生,東京都文京区弥生１,東京メトロ南北線/東大前駅 歩4分 東京メトロ千代田線/根津駅 歩10分 東京メトロ南北線/本駒込駅 歩13分,新築,4階建,2階,1LDK,43.06m2,19.6万円,10000円
テラスミーレ文京弥生,東京都文京区弥生１,東京メトロ南北線/東大前駅 歩4分 東京メトロ千代田線/根津駅 歩10分 東京メトロ南北線/本駒込駅 歩13分,新築,4階建,2階,1LDK,43.06m2,19.7万円,10000円
テラスミーレ文京弥生,東京都文京区弥生１,東京メトロ南北線/東大前駅 歩4分 東京メトロ千代田線/根津駅 歩10分 東京メトロ南北線/本駒込駅 歩13分,新築,4階建,2階,1LDK,43.06m2,19.7万円,10000円
テラスミーレ文京弥生,東京都文京区弥生１,東京メトロ南北線/東大前駅 歩4分 東京メトロ千代田線/根津駅 歩10分 東京メトロ南北線/本駒込駅 歩13分,新築,4階建,4階,1LDK,43.06m2,20.2万円,10000円
テラスミーレ文京弥生,東京都文京区弥生１,東京メトロ南北線/東大前駅 歩4分 東京メトロ千代田線/根津駅 歩10分 東京メトロ南北線/本駒込駅 歩13分,新築,4階建,4階,1LDK,43.06m2,20.3万円,10000円
テラスミーレ文京弥生,東京都文京区弥生１,東京メトロ南北線/東大前駅 歩4分 東京メトロ千代田線/根津駅 歩10分 東京メトロ南北線/本駒込駅 歩13分,新築,4階建,4階,1LDK,43.06m2,20.8万円,10000円
リヴシティ文京本郷,東京都文京区本郷３,東京メトロ丸ノ内線/本郷三丁目駅 歩4分 ＪＲ中央線/御茶ノ水駅 歩10分 ＪＲ中央線/水道橋駅 歩10分,築16年,14階建,11階,1K,20.22m2,8.2万円,10000円
リヴシティ文京本郷,東京都文京区本郷３,東京メトロ丸ノ内線/本郷三丁目駅 歩4分 ＪＲ中央線/御茶ノ水駅 歩10分 ＪＲ中央線/水道橋駅 歩10分,築16年,14階建,12階,1K,20.22m2,8.2万円,10000円
リヴシティ文京本郷,東京都文京区本郷３,東京メトロ丸ノ内線/本郷三丁目駅 歩4分 ＪＲ中央線/御茶ノ水駅 歩10分 ＪＲ中央線/水道橋駅 歩10分,築16年,14階建,11階,1K,20.22m2,8.4万円,10000円
リヴシティ文京本郷,東京都文京区本郷３,東京メトロ丸ノ内線/本郷三丁目駅 歩4分 ＪＲ中央線/御茶ノ水駅 歩10分 ＪＲ中央線/水道橋駅 歩10分,築16年,14階建,11階,1K,20.22m2,8.9万円,10000円
リヴシティ文京本郷,東京都文京区本郷３,東京メトロ丸ノ内線/本郷三丁目駅 歩4分 ＪＲ中央線/御茶ノ水駅 歩10分 ＪＲ中央線/水道橋駅 歩10分,築16年,14階建,12階,1K,20.22m2,9.4万円,10000円
ルフォンプログレ文京湯島,東京都文京区湯島３,東京メトロ千代田線/湯島駅 歩3分 東京メトロ銀座線/末広町駅 歩5分 ＪＲ山手線/御徒町駅 歩9分,築4年,14階建,3階,1DK,29.48m2,16.1万円,10000円
ルフォンプログレ文京湯島,東京都文京区湯島３,東京メトロ千代田線/湯島駅 歩3分 東京メトロ銀座線/末広町駅 歩5分 ＪＲ山手線/御徒町駅 歩9分,築4年,14階建,10階,1DK,29.48m2,16.9万円,10000円
ルフォンプログレ文京湯島,東京都文京区湯島３,東京メトロ千代田線/湯島駅 歩3分 東京メトロ銀座線/末広町駅 歩5分 ＪＲ山手線/御徒町駅 歩9分,築4年,14階建,4階,2LDK,53.26m2,28万円,15000円
ナーベルお茶の水,東京都文京区湯島１,ＪＲ中央線/御茶ノ水駅 歩4分 東京メトロ丸ノ内線/本郷三丁目駅 歩7分 東京メトロ千代田線/新御茶ノ水駅 歩8分,築21年,地下1地上15階建,9階,1LDK,50.86m2,17.4万円,15000円
ナーベルお茶の水,東京都文京区湯島１,ＪＲ中央線/御茶ノ水駅 歩4分 東京メトロ丸ノ内線/本郷三丁目駅 歩7分 東京メトロ千代田線/新御茶ノ水駅 歩8分,築21年,地下1地上15階建,9階,1LDK,57.46m2,19.9万円,15000円
レジディア文京本郷III,東京都文京区本郷３,東京メトロ丸ノ内線/本郷三丁目駅 歩6分 ＪＲ中央線/御茶ノ水駅 歩8分 東京メトロ千代田線/新御茶ノ水駅 歩12分,築10年,11階建,7階,1K,25.44m2,11.5万円,10000円
レジディア文京本郷III,東京都文京区本郷３,東京メトロ丸ノ内線/本郷三丁目駅 歩6分 ＪＲ中央線/御茶ノ水駅 歩8分 東京メトロ千代田線/新御茶ノ水駅 歩12分,築10年,11階建,7階,1K,25.44m2,12万円,10000円
レジディア文京本郷III,東京都文京区本郷３,東京メトロ丸ノ内線/本郷三丁目駅 歩6分 ＪＲ中央線/御茶ノ水駅 歩8分 東京メトロ千代田線/新御茶ノ水駅 歩12分,築10年,11階建,11階,1K,25.44m2,12.2万円,10000円
レジディア文京本郷III,東京都文京区本郷３,東京メトロ丸ノ内線/本郷三丁目駅 歩6分 ＪＲ中央線/御茶ノ水駅 歩8分 東京メトロ千代田線/新御茶ノ水駅 歩12分,築10年,11階建,11階,1LDK,40.15m2,19.3万円,15000円
東京メトロ南北線 本駒込駅 地下1地上15階建 築17年,東京都文京区本駒込１,東京メトロ南北線/本駒込駅 歩2分 都営三田線/白山駅 歩5分 都営三田線/千石駅 歩13分,築17年,地下1地上15階建,3階,1K,26.65m2,10.8万円,12000円
東京メトロ南北線 本駒込駅 地下1地上15階建 築17年,東京都文京区本駒込１,東京メトロ南北線/本駒込駅 歩2分 都営三田線/白山駅 歩5分 都営三田線/千石駅 歩13分,築17年,地下1地上15階建,3階,1K,26.65m2,11.3万円,12000円
東京メトロ南北線 本駒込駅 地下1地上15階建 築17年,東京都文京区本駒込１,東京メトロ南北線/本駒込駅 歩2分 都営三田線/白山駅 歩5分 都営三田線/千石駅 歩13分,築17年,地下1地上15階建,7階,1LDK,38.57m2,15.5万円,12000円
東京メトロ南北線 本駒込駅 地下1地上15階建 築17年,東京都文京区本駒込１,東京メトロ南北線/本駒込駅 歩2分 都営三田線/白山駅 歩5分 都営三田線/千石駅 歩13分,築17年,地下1地上15階建,11階,1LDK,38.78m2,15.6万円,12000円
東京メトロ南北線 本駒込駅 地下1地上15階建 築17年,東京都文京区本駒込１,東京メトロ南北線/本駒込駅 歩2分 都営三田線/白山駅 歩5分 都営三田線/千石駅 歩13分,築17年,地下1地上15階建,11階,1LDK,38.78m2,15.6万円,12000円
東京メトロ南北線 本駒込駅 地下1地上15階建 築17年,東京都文京区本駒込１,東京メトロ南北線/本駒込駅 歩2分 都営三田線/白山駅 歩5分 都営三田線/千石駅 歩13分,築17年,地下1地上15階建,11階,1LDK,38.78m2,15.6万円,12000円
ドルチェ文京千駄木,東京都文京区千駄木３,ＪＲ山手線/西日暮里駅 歩5分 東京メトロ千代田線/千駄木駅 歩5分 東京メトロ南北線/本駒込駅 歩17分,築18年,14階建,10階,1K,24.17m2,8.4万円,6000円
東京メトロ丸ノ内線 茗荷谷駅 地下1地上9階建 築13年,東京都文京区小石川４,東京メトロ丸ノ内線/茗荷谷駅 歩9分 都営三田線/白山駅 歩16分 都営三田線/春日駅 歩16分,築13年,地下1地上9階建,5階,1LDK,44.75m2,18.5万円,10000円
Kukai Terrace茗荷谷,東京都文京区小日向４,東京メトロ丸ノ内線/茗荷谷駅 歩1分 東京メトロ有楽町線/江戸川橋駅 歩14分 東京メトロ有楽町線/護国寺駅 歩16分,築6年,4階建,3階,1LDK,37.17m2,15.5万円,10000円
